name	formula	exactmass	adduct	mz
SM(d47:1)	C52H105N2O6P	884.7710261	[M+H]+	885.7783026
SM(t47:1)	C52H105N2O7P	900.7659407	[M+H]+	901.7732172
SM(d46:1)	C51H103N2O6P	870.755376	[M+H]+	871.7626525
SM(t46:1)	C51H103N2O7P	886.7502907	[M+H]+	887.7575671
SM(d45:1)	C50H101N2O6P	856.739726	[M+H]+	857.7470024
SM(t45:1)	C50H101N2O7P	872.7346406	[M+H]+	873.7419171
SM(d44:1)	C49H99N2O6P	842.7240759	[M+H]+	843.7313524
SM(t44:1)	C49H99N2O7P	858.7189905	[M+H]+	859.726267
SM(d43:1)	C48H97N2O6P	828.7084258	[M+H]+	829.7157023
SM(t43:1)	C48H97N2O7P	844.7033405	[M+H]+	845.7106169
SM(d42:1)	C47H95N2O6P	814.6927758	[M+H]+	815.7000522
SM(t42:1)	C47H95N2O7P	830.6876904	[M+H]+	831.6949669
SM(d41:1)	C46H93N2O6P	800.6771257	[M+H]+	801.6844022
SM(t41:1)	C46H93N2O7P	816.6720403	[M+H]+	817.6793168
SM(d40:1)	C45H91N2O6P	786.6614757	[M+H]+	787.6687521
SM(t40:1)	C45H91N2O7P	802.6563903	[M+H]+	803.6636667
SM(d39:1)	C44H89N2O6P	772.6458256	[M+H]+	773.653102
SM(t39:1)	C44H89N2O7P	788.6407402	[M+H]+	789.6480167
SM(d38:1)	C43H87N2O6P	758.6301755	[M+H]+	759.637452
SM(t38:1)	C43H87N2O7P	774.6250901	[M+H]+	775.6323666
SM(d37:1)	C42H85N2O6P	744.6145255	[M+H]+	745.6218019
SM(t37:1)	C42H85N2O7P	760.6094401	[M+H]+	761.6167165
SM(d36:1)	C41H83N2O6P	730.5988754	[M+H]+	731.6061519
SM(t36:1)	C41H83N2O7P	746.59379	[M+H]+	747.6010665
SM(d35:1)	C40H81N2O6P	716.5832253	[M+H]+	717.5905018
SM(t35:1)	C40H81N2O7P	732.57814	[M+H]+	733.5854164
SM(d34:1)	C39H79N2O6P	702.5675753	[M+H]+	703.5748517
SM(t34:1)	C39H79N2O7P	718.5624899	[M+H]+	719.5697663
SM(d33:1)	C38H77N2O6P	688.5519252	[M+H]+	689.5592017
SM(t33:1)	C38H77N2O7P	704.5468398	[M+H]+	705.5541163
SM(d32:1)	C37H75N2O6P	674.5362751	[M+H]+	675.5435516
SM(t32:1)	C37H75N2O7P	690.5311898	[M+H]+	691.5384662
SM(d31:1)	C36H73N2O6P	660.5206251	[M+H]+	661.5279015
SM(t31:1)	C36H73N2O7P	676.5155397	[M+H]+	677.5228161
SM(d30:1)	C35H71N2O6P	646.504975	[M+H]+	647.5122515
SM(t30:1)	C35H71N2O7P	662.4998896	[M+H]+	663.5071661
SM(d29:1)	C34H69N2O6P	632.4893249	[M+H]+	633.4966014
SM(t29:1)	C34H69N2O7P	648.4842396	[M+H]+	649.491516
SM(d47:1)	C52H105N2O6P	884.7710261	[M+Na]+	907.7602468
SM(t47:1)	C52H105N2O7P	900.7659407	[M+Na]+	923.7551614
SM(d46:1)	C51H103N2O6P	870.755376	[M+Na]+	893.7445967
SM(t46:1)	C51H103N2O7P	886.7502907	[M+Na]+	909.7395114
SM(d45:1)	C50H101N2O6P	856.739726	[M+Na]+	879.7289467
SM(t45:1)	C50H101N2O7P	872.7346406	[M+Na]+	895.7238613
SM(d44:1)	C49H99N2O6P	842.7240759	[M+Na]+	865.7132966
SM(t44:1)	C49H99N2O7P	858.7189905	[M+Na]+	881.7082112
SM(d43:1)	C48H97N2O6P	828.7084258	[M+Na]+	851.6976465
SM(t43:1)	C48H97N2O7P	844.7033405	[M+Na]+	867.6925612
SM(d42:1)	C47H95N2O6P	814.6927758	[M+Na]+	837.6819965
SM(t42:1)	C47H95N2O7P	830.6876904	[M+Na]+	853.6769111
SM(d41:1)	C46H93N2O6P	800.6771257	[M+Na]+	823.6663464
SM(t41:1)	C46H93N2O7P	816.6720403	[M+Na]+	839.661261
SM(d40:1)	C45H91N2O6P	786.6614757	[M+Na]+	809.6506964
SM(t40:1)	C45H91N2O7P	802.6563903	[M+Na]+	825.645611
SM(d39:1)	C44H89N2O6P	772.6458256	[M+Na]+	795.6350463
SM(t39:1)	C44H89N2O7P	788.6407402	[M+Na]+	811.6299609
SM(d38:1)	C43H87N2O6P	758.6301755	[M+Na]+	781.6193962
SM(t38:1)	C43H87N2O7P	774.6250901	[M+Na]+	797.6143108
SM(d37:1)	C42H85N2O6P	744.6145255	[M+Na]+	767.6037462
SM(t37:1)	C42H85N2O7P	760.6094401	[M+Na]+	783.5986608
SM(d36:1)	C41H83N2O6P	730.5988754	[M+Na]+	753.5880961
SM(t36:1)	C41H83N2O7P	746.59379	[M+Na]+	769.5830107
SM(d35:1)	C40H81N2O6P	716.5832253	[M+Na]+	739.572446
SM(t35:1)	C40H81N2O7P	732.57814	[M+Na]+	755.5673607
SM(d34:1)	C39H79N2O6P	702.5675753	[M+Na]+	725.556796
SM(t34:1)	C39H79N2O7P	718.5624899	[M+Na]+	741.5517106
SM(d33:1)	C38H77N2O6P	688.5519252	[M+Na]+	711.5411459
SM(t33:1)	C38H77N2O7P	704.5468398	[M+Na]+	727.5360605
SM(d32:1)	C37H75N2O6P	674.5362751	[M+Na]+	697.5254958
SM(t32:1)	C37H75N2O7P	690.5311898	[M+Na]+	713.5204105
SM(d31:1)	C36H73N2O6P	660.5206251	[M+Na]+	683.5098458
SM(t31:1)	C36H73N2O7P	676.5155397	[M+Na]+	699.5047604
SM(d30:1)	C35H71N2O6P	646.504975	[M+Na]+	669.4941957
SM(t30:1)	C35H71N2O7P	662.4998896	[M+Na]+	685.4891103
SM(d29:1)	C34H69N2O6P	632.4893249	[M+Na]+	655.4785456
SM(t29:1)	C34H69N2O7P	648.4842396	[M+Na]+	671.4734603
CerP(d47:1)	C47H94NO6P	799.6818767	[M+H]+	800.6891532
CerP(t47:1)	C47H94NO7P	815.6767914	[M+H]+	816.6840678
CerP(d46:1)	C46H92NO6P	785.6662267	[M+H]+	786.6735031
CerP(t46:1)	C46H92NO7P	801.6611413	[M+H]+	802.6684178
CerP(d45:1)	C45H90NO6P	771.6505766	[M+H]+	772.6578531
CerP(t45:1)	C45H90NO7P	787.6454912	[M+H]+	788.6527677
CerP(d44:1)	C44H88NO6P	757.6349266	[M+H]+	758.642203
CerP(t44:1)	C44H88NO7P	773.6298412	[M+H]+	774.6371176
CerP(d43:1)	C43H86NO6P	743.6192765	[M+H]+	744.6265529
CerP(t43:1)	C43H86NO7P	759.6141911	[M+H]+	760.6214676
CerP(d42:1)	C42H84NO6P	729.6036264	[M+H]+	730.6109029
CerP(t42:1)	C42H84NO7P	745.598541	[M+H]+	746.6058175
CerP(d41:1)	C41H82NO6P	715.5879764	[M+H]+	716.5952528
CerP(t41:1)	C41H82NO7P	731.582891	[M+H]+	732.5901674
