id	lipid	formula	adduct	template_file
Lipid00416	PC(17:1_18:4)	C43H76NO8P	NA	NA
Lipid00417	PC(15:0_20:4)	C43H78NO8P	NA	NA
Lipid00418	PC(17:0_18:4)	C43H78NO8P	NA	NA
Lipid00419	PC(17:1_18:3)	C43H78NO8P	NA	NA
Lipid00420	PC(15:0_20:3)	C43H80NO8P	NA	NA
Lipid00421	PC(17:0_18:3)	C43H80NO8P	NA	NA
Lipid00422	PC(17:1_18:2)	C43H80NO8P	NA	NA
Lipid00423	PC(15:0_20:2)	C43H82NO8P	NA	NA
Lipid00424	PC(16:1_19:1)	C43H82NO8P	NA	NA
Lipid00425	PC(17:0_18:2)	C43H82NO8P	NA	NA
Lipid00426	PC(17:1_18:1)	C43H82NO8P	NA	NA
Lipid00427	PC(15:0_20:1)	C43H84NO8P	NA	NA
Lipid00428	PC(16:1_19:0)	C43H84NO8P	NA	NA
Lipid00429	PC(16:0_19:1)	C43H84NO8P	NA	NA
Lipid00430	PC(17:0_18:1)	C43H84NO8P	NA	NA
Lipid00431	PC(17:1_18:0)	C43H84NO8P	NA	NA
Lipid00432	PC(13:0_22:0)	C43H86NO8P	NA	NA
Lipid00433	PC(15:0_20:0)	C43H86NO8P	NA	NA
Lipid00434	PC(16:0_19:0)	C43H86NO8P	NA	NA
Lipid00435	PC(17:0_18:0)	C43H86NO8P	NA	NA
Lipid00436	PC(14:0_20:5)	C42H74NO8P	NA	NA
Lipid00437	PC(16:1_18:4)	C42H74NO8P	NA	NA
Lipid00438	PC(14:0_20:4)	C42H76NO8P	NA	NA
Lipid00439	PC(16:1_18:3)	C42H76NO8P	NA	NA
Lipid00440	PC(16:0_18:4)	C42H76NO8P	NA	NA
Lipid00441	PC(14:0_20:3)	C42H78NO8P	NA	NA
Lipid00442	PC(16:1_18:2)	C42H78NO8P	NA	NA
Lipid00443	PC(16:0_18:3)	C42H78NO8P	NA	NA
Lipid00444	PC(14:0_20:2)	C42H80NO8P	NA	NA
Lipid00445	PC(16:1_18:1)	C42H80NO8P	NA	NA
Lipid00446	PC(16:0_18:2)	C42H80NO8P	NA	NA
Lipid00447	PC(17:1_17:1)	C42H80NO8P	NA	NA
Lipid00448	PC(14:0_20:1)	C42H82NO8P	NA	NA
Lipid00449	PC(15:0_19:1)	C42H82NO8P	NA	NA
Lipid00450	PC(16:1_18:0)	C42H82NO8P	NA	NA
Lipid00451	PC(16:0_18:1)	C42H82NO8P	NA	NA
Lipid00452	PC(17:0_17:1)	C42H82NO8P	NA	NA
Lipid00453	PC(12:0_22:0)	C42H84NO8P	NA	NA
Lipid00454	PC(14:0_20:0)	C42H84NO8P	NA	NA
Lipid00455	PC(15:0_19:0)	C42H84NO8P	NA	NA
Lipid00456	PC(16:0_18:0)	C42H84NO8P	NA	NA
Lipid00457	PC(17:0_17:0)	C42H84NO8P	NA	NA
Lipid00458	PC(13:0_20:5)	C41H72NO8P	NA	NA
Lipid00459	PC(13:0_20:4)	C41H74NO8P	NA	NA
Lipid00460	PC(15:0_18:4)	C41H74NO8P	NA	NA
Lipid00461	PC(13:0_20:3)	C41H76NO8P	NA	NA
Lipid00462	PC(15:0_18:3)	C41H76NO8P	NA	NA
Lipid00463	PC(13:0_20:2)	C41H78NO8P	NA	NA
Lipid00464	PC(15:0_18:2)	C41H78NO8P	NA	NA
Lipid00465	PC(16:1_17:1)	C41H78NO8P	NA	NA
Lipid00466	PC(13:0_20:1)	C41H80NO8P	NA	NA
Lipid00467	PC(14:0_19:1)	C41H80NO8P	NA	NA
Lipid00468	PC(15:0_18:1)	C41H80NO8P	NA	NA
Lipid00469	PC(16:1_17:0)	C41H80NO8P	NA	NA
Lipid00470	PC(16:0_17:1)	C41H80NO8P	NA	NA
Lipid00471	PC(13:0_20:0)	C41H82NO8P	NA	NA
Lipid00472	PC(14:0_19:0)	C41H82NO8P	NA	NA
Lipid00473	PC(15:0_18:0)	C41H82NO8P	NA	NA
Lipid00474	PC(16:0_17:0)	C41H82NO8P	NA	NA
Lipid00475	PC(12:0_20:5)	C40H70NO8P	NA	NA
Lipid00476	PC(12:0_20:4)	C40H72NO8P	NA	NA
Lipid00477	PC(14:0_18:4)	C40H72NO8P	NA	NA
Lipid00478	PC(12:0_20:3)	C40H74NO8P	NA	NA
Lipid00479	PC(14:0_18:3)	C40H74NO8P	NA	NA
Lipid00480	PC(12:0_20:2)	C40H76NO8P	NA	NA
Lipid00481	PC(14:0_18:2)	C40H76NO8P	NA	NA
Lipid00482	PC(16:1_16:1)	C40H76NO8P	NA	NA
Lipid00483	PC(12:0_20:1)	C40H78NO8P	NA	NA
Lipid00484	PC(13:0_19:1)	C40H78NO8P	NA	NA
Lipid00485	PC(14:0_18:1)	C40H78NO8P	NA	NA
Lipid00486	PC(15:0_17:1)	C40H78NO8P	NA	NA
Lipid00487	PC(16:0_16:1)	C40H78NO8P	NA	NA
Lipid00488	PC(12:0_20:0)	C40H80NO8P	NA	NA
Lipid00489	PC(13:0_19:0)	C40H80NO8P	NA	NA
Lipid00490	PC(14:0_18:0)	C40H80NO8P	NA	NA
Lipid00491	PC(15:0_17:0)	C40H80NO8P	NA	NA
Lipid00492	PC(16:0_16:0)	C40H80NO8P	NA	NA
Lipid00493	PC(13:0_18:4)	C39H70NO8P	NA	NA
Lipid00494	PC(13:0_18:3)	C39H72NO8P	NA	NA
Lipid00495	PC(13:0_18:2)	C39H74NO8P	NA	NA
Lipid00496	PC(12:0_19:1)	C39H76NO8P	NA	NA
Lipid00497	PC(13:0_18:1)	C39H76NO8P	NA	NA
Lipid00498	PC(14:0_17:1)	C39H76NO8P	NA	NA
Lipid00499	PC(15:0_16:1)	C39H76NO8P	NA	NA
Lipid00500	PC(12:0_19:0)	C39H78NO8P	NA	NA
Lipid00501	PC(13:0_18:0)	C39H78NO8P	NA	NA
Lipid00502	PC(14:0_17:0)	C39H78NO8P	NA	NA
Lipid00503	PC(15:0_16:0)	C39H78NO8P	NA	NA
Lipid00504	PC(12:0_18:4)	C38H68NO8P	NA	NA
Lipid00505	PC(12:0_18:3)	C38H70NO8P	NA	NA
Lipid00506	PC(12:0_18:2)	C38H72NO8P	NA	NA
Lipid00507	PC(12:0_18:1)	C38H74NO8P	NA	NA
Lipid00508	PC(13:0_17:1)	C38H74NO8P	NA	NA
Lipid00509	PC(14:0_16:1)	C38H74NO8P	NA	NA
Lipid00510	PC(12:0_18:0)	C38H76NO8P	NA	NA
Lipid00511	PC(13:0_17:0)	C38H76NO8P	NA	NA
Lipid00512	PC(14:0_16:0)	C38H76NO8P	NA	NA
Lipid00513	PC(15:0_15:0)	C38H76NO8P	NA	NA
Lipid00514	PC(12:0_17:1)	C37H72NO8P	NA	NA
Lipid00515	PC(13:0_16:1)	C37H72NO8P	NA	NA
Lipid00516	PC(12:0_17:0)	C37H74NO8P	NA	NA
Lipid00517	PC(13:0_16:0)	C37H74NO8P	NA	NA
Lipid00518	PC(14:0_15:0)	C37H74NO8P	NA	NA
Lipid00519	PC(12:0_16:1)	C36H70NO8P	NA	NA
Lipid00520	PC(12:0_16:0)	C36H72NO8P	NA	NA
Lipid00521	PC(13:0_15:0)	C36H72NO8P	NA	NA
Lipid00522	PC(14:0_14:0)	C36H72NO8P	NA	NA
Lipid00523	PC(12:0_15:0)	C35H70NO8P	NA	NA
Lipid00524	PC(13:0_14:0)	C35H70NO8P	NA	NA
Lipid00525	PC(12:0_14:0)	C34H68NO8P	NA	NA
Lipid00526	PC(13:0_13:0)	C34H68NO8P	NA	NA
Lipid00527	PC(12:0_13:0)	C33H66NO8P	NA	NA
Lipid00528	PC(12:0_12:0)	C32H64NO8P	NA	NA
Lipid00529	PC(0:0_22:0)	C30H62NO7P	NA	NA
Lipid00530	PC(0:0_20:5)	C28H48NO7P	NA	NA
Lipid00531	PC(0:0_20:4)	C28H50NO7P	NA	NA
Lipid00532	PC(0:0_20:3)	C28H52NO7P	NA	NA
Lipid00533	PC(0:0_20:2)	C28H54NO7P	NA	NA
Lipid00534	PC(0:0_20:1)	C28H56NO7P	NA	NA
Lipid00535	PC(0:0_20:0)	C28H58NO7P	NA	NA
Lipid00536	PC(0:0_19:0)	C27H56NO7P	NA	NA
Lipid00537	PC(0:0_19:1)	C27H54NO7P	NA	NA
Lipid00538	PC(0:0_18:4)	C26H46NO7P	NA	NA
Lipid00539	PC(0:0_18:3)	C26H48NO7P	NA	NA
Lipid00540	PC(0:0_18:2)	C26H50NO7P	NA	NA
Lipid00541	PC(0:0_18:1)	C26H52NO7P	NA	NA
Lipid00542	PC(0:0_18:0)	C26H54NO7P	NA	NA
Lipid00543	PC(0:0_17:0)	C25H52NO7P	NA	NA
Lipid00544	PC(0:0_17:1)	C25H50NO7P	NA	NA
Lipid00545	PC(0:0_16:1)	C24H48NO7P	NA	NA
Lipid00546	PC(0:0_16:0)	C24H50NO7P	NA	NA
Lipid00547	PC(0:0_15:0)	C23H48NO7P	NA	NA
Lipid00548	PC(0:0_14:0)	C22H46NO7P	NA	NA
Lipid00549	PC(0:0_13:0)	C21H44NO7P	NA	NA
Lipid00550	PC(0:0_12:0)	C20H42NO7P	NA	NA
Lipid00551	PC(0:0_14:0)	C21H44NO7P	NA	NA
Lipid00552	PE(22:0_22:0)	C49H98NO8P	NA	NA
Lipid00553	PE(20:0_22:0)	C47H94NO8P	NA	NA
Lipid00554	PE(20:1_22:0)	C47H92NO8P	NA	NA
Lipid00555	PE(20:2_22:0)	C47H90NO8P	NA	NA
Lipid00556	PE(20:3_22:0)	C47H88NO8P	NA	NA
Lipid00557	PE(20:4_22:0)	C47H86NO8P	NA	NA
Lipid00558	PE(20:5_22:0)	C47H84NO8P	NA	NA
Lipid00559	PE(19:0_22:0)	C46H92NO8P	NA	NA
Lipid00560	PE(19:1_22:0)	C46H90NO8P	NA	NA
Lipid00561	PE(18:0_22:0)	C45H90NO8P	NA	NA
Lipid00562	PE(20:0_20:0)	C45H90NO8P	NA	NA
Lipid00563	PE(18:1_22:0)	C45H88NO8P	NA	NA
Lipid00564	PE(20:0_20:1)	C45H88NO8P	NA	NA
Lipid00565	PE(18:2_22:0)	C45H86NO8P	NA	NA
Lipid00566	PE(20:0_20:2)	C45H86NO8P	NA	NA
Lipid00567	PE(20:1_20:1)	C45H86NO8P	NA	NA
Lipid00568	PE(18:3_22:0)	C45H84NO8P	NA	NA
Lipid00569	PE(20:0_20:3)	C45H84NO8P	NA	NA
Lipid00570	PE(20:1_20:2)	C45H84NO8P	NA	NA
Lipid00571	PE(18:4_22:0)	C45H82NO8P	NA	NA
Lipid00572	PE(20:0_20:4)	C45H82NO8P	NA	NA
Lipid00573	PE(20:1_20:3)	C45H82NO8P	NA	NA
Lipid00574	PE(20:2_20:2)	C45H82NO8P	NA	NA
Lipid00575	PE(20:2_20:3)	C45H80NO8P	NA	NA
Lipid00576	PE(20:1_20:4)	C45H80NO8P	NA	NA
Lipid00577	PE(20:0_20:5)	C45H80NO8P	NA	NA
Lipid00578	PE(20:1_20:5)	C45H78NO8P	NA	NA
Lipid00579	PE(20:2_20:4)	C45H78NO8P	NA	NA
Lipid00580	PE(20:3_20:3)	C45H78NO8P	NA	NA
Lipid00581	PE(17:0_22:0)	C44H88NO8P	NA	NA
Lipid00582	PE(19:0_20:0)	C44H88NO8P	NA	NA
Lipid00583	PE(20:2_20:5)	C45H76NO8P	NA	NA
Lipid00584	PE(20:3_20:4)	C45H76NO8P	NA	NA
Lipid00585	PE(17:1_22:0)	C44H86NO8P	NA	NA
Lipid00586	PE(19:0_20:1)	C44H86NO8P	NA	NA
Lipid00587	PE(19:1_20:0)	C44H86NO8P	NA	NA
Lipid00588	PE(20:3_20:5)	C45H74NO8P	NA	NA
Lipid00589	PE(20:4_20:4)	C45H74NO8P	NA	NA
Lipid00590	PE(19:0_20:2)	C44H84NO8P	NA	NA
Lipid00591	PE(19:1_20:1)	C44H84NO8P	NA	NA
Lipid00592	PE(20:4_20:5)	C45H72NO8P	NA	NA
Lipid00593	PE(19:0_20:3)	C44H82NO8P	NA	NA
Lipid00594	PE(19:1_20:2)	C44H82NO8P	NA	NA
Lipid00595	PE(20:5_20:5)	C45H70NO8P	NA	NA
Lipid00596	PE(19:0_20:4)	C44H80NO8P	NA	NA
Lipid00597	PE(19:1_20:3)	C44H80NO8P	NA	NA
Lipid00598	PE(19:0_20:5)	C44H78NO8P	NA	NA
Lipid00599	PE(19:1_20:4)	C44H78NO8P	NA	NA
Lipid00600	PE(19:1_20:5)	C44H76NO8P	NA	NA
Lipid00601	PE(16:0_22:0)	C43H86NO8P	NA	NA
Lipid00602	PE(18:0_20:0)	C43H86NO8P	NA	NA
Lipid00603	PE(19:0_19:0)	C43H86NO8P	NA	NA
Lipid00604	PE(16:1_22:0)	C43H84NO8P	NA	NA
Lipid00605	PE(18:1_20:0)	C43H84NO8P	NA	NA
Lipid00606	PE(18:0_20:1)	C43H84NO8P	NA	NA
Lipid00607	PE(19:0_19:1)	C43H84NO8P	NA	NA
Lipid00608	PE(18:2_20:0)	C43H82NO8P	NA	NA
Lipid00609	PE(18:1_20:1)	C43H82NO8P	NA	NA
Lipid00610	PE(18:0_20:2)	C43H82NO8P	NA	NA
Lipid00611	PE(19:1_19:1)	C43H82NO8P	NA	NA
Lipid00612	PE(18:3_20:0)	C43H80NO8P	NA	NA
Lipid00613	PE(18:2_20:1)	C43H80NO8P	NA	NA
Lipid00614	PE(18:1_20:2)	C43H80NO8P	NA	NA
Lipid00615	PE(18:0_20:3)	C43H80NO8P	NA	NA
Lipid00616	PE(18:4_20:0)	C43H78NO8P	NA	NA
Lipid00617	PE(18:3_20:1)	C43H78NO8P	NA	NA
Lipid00618	PE(18:2_20:2)	C43H78NO8P	NA	NA
Lipid00619	PE(18:1_20:3)	C43H78NO8P	NA	NA
Lipid00620	PE(18:0_20:4)	C43H78NO8P	NA	NA
Lipid00621	PE(18:4_20:1)	C43H76NO8P	NA	NA
Lipid00622	PE(18:3_20:2)	C43H76NO8P	NA	NA
Lipid00623	PE(18:2_20:3)	C43H76NO8P	NA	NA
Lipid00624	PE(18:1_20:4)	C43H76NO8P	NA	NA
Lipid00625	PE(18:0_20:5)	C43H76NO8P	NA	NA
Lipid00626	PE(18:4_20:2)	C43H74NO8P	NA	NA
Lipid00627	PE(18:3_20:3)	C43H74NO8P	NA	NA
Lipid00628	PE(18:2_20:4)	C43H74NO8P	NA	NA
Lipid00629	PE(18:1_20:5)	C43H74NO8P	NA	NA
Lipid00630	PE(15:0_22:0)	C42H84NO8P	NA	NA
Lipid00631	PE(17:0_20:0)	C42H84NO8P	NA	NA
Lipid00632	PE(18:0_19:0)	C42H84NO8P	NA	NA
Lipid00633	PE(18:4_20:3)	C43H72NO8P	NA	NA
Lipid00634	PE(18:3_20:4)	C43H72NO8P	NA	NA
Lipid00635	PE(18:2_20:5)	C43H72NO8P	NA	NA
Lipid00636	PE(17:0_20:1)	C42H82NO8P	NA	NA
Lipid00637	PE(17:1_20:0)	C42H82NO8P	NA	NA
Lipid00638	PE(18:1_19:0)	C42H82NO8P	NA	NA
Lipid00639	PE(18:0_19:1)	C42H82NO8P	NA	NA
Lipid00640	PE(18:4_20:4)	C43H70NO8P	NA	NA
Lipid00641	PE(18:3_20:5)	C43H70NO8P	NA	NA
Lipid00642	PE(17:0_20:2)	C42H80NO8P	NA	NA
Lipid00643	PE(17:1_20:1)	C42H80NO8P	NA	NA
Lipid00644	PE(18:2_19:0)	C42H80NO8P	NA	NA
Lipid00645	PE(18:1_19:1)	C42H80NO8P	NA	NA
Lipid00646	PE(18:4_20:5)	C43H68NO8P	NA	NA
Lipid00647	PE(17:0_20:3)	C42H78NO8P	NA	NA
Lipid00648	PE(17:1_20:2)	C42H78NO8P	NA	NA
Lipid00649	PE(18:3_19:0)	C42H78NO8P	NA	NA
Lipid00650	PE(18:2_19:1)	C42H78NO8P	NA	NA
Lipid00651	PE(17:0_20:4)	C42H76NO8P	NA	NA
Lipid00652	PE(17:1_20:3)	C42H76NO8P	NA	NA
Lipid00653	PE(18:4_19:0)	C42H76NO8P	NA	NA
Lipid00654	PE(18:3_19:1)	C42H76NO8P	NA	NA
Lipid00655	PE(17:0_20:5)	C42H74NO8P	NA	NA
Lipid00656	PE(17:1_20:4)	C42H74NO8P	NA	NA
Lipid00657	PE(18:4_19:1)	C42H74NO8P	NA	NA
Lipid00658	PE(17:1_20:5)	C42H72NO8P	NA	NA
Lipid00659	PE(14:0_22:0)	C41H82NO8P	NA	NA
Lipid00660	PE(16:0_20:0)	C41H82NO8P	NA	NA
Lipid00661	PE(17:0_19:0)	C41H82NO8P	NA	NA
Lipid00662	PE(18:0_18:0)	C41H82NO8P	NA	NA
Lipid00663	PE(16:1_20:0)	C41H80NO8P	NA	NA
Lipid00664	PE(16:0_20:1)	C41H80NO8P	NA	NA
Lipid00665	PE(17:0_19:1)	C41H80NO8P	NA	NA
Lipid00666	PE(17:1_19:0)	C41H80NO8P	NA	NA
Lipid00667	PE(18:0_18:1)	C41H80NO8P	NA	NA
Lipid00668	PE(16:1_20:1)	C41H78NO8P	NA	NA
Lipid00669	PE(16:0_20:2)	C41H78NO8P	NA	NA
Lipid00670	PE(17:1_19:1)	C41H78NO8P	NA	NA
Lipid00671	PE(18:0_18:2)	C41H78NO8P	NA	NA
Lipid00672	PE(18:1_18:1)	C41H78NO8P	NA	NA
Lipid00673	PE(16:1_20:2)	C41H76NO8P	NA	NA
Lipid00674	PE(16:0_20:3)	C41H76NO8P	NA	NA
Lipid00675	PE(18:0_18:3)	C41H76NO8P	NA	NA
Lipid00676	PE(18:1_18:2)	C41H76NO8P	NA	NA
Lipid00677	PE(16:1_20:3)	C41H74NO8P	NA	NA
Lipid00678	PE(16:0_20:4)	C41H74NO8P	NA	NA
Lipid00679	PE(18:0_18:4)	C41H74NO8P	NA	NA
Lipid00680	PE(18:1_18:3)	C41H74NO8P	NA	NA
Lipid00681	PE(18:2_18:2)	C41H74NO8P	NA	NA
Lipid00682	PE(16:1_20:4)	C41H72NO8P	NA	NA
Lipid00683	PE(16:0_20:5)	C41H72NO8P	NA	NA
Lipid00684	PE(18:1_18:4)	C41H72NO8P	NA	NA
Lipid00685	PE(18:2_18:3)	C41H72NO8P	NA	NA
Lipid00686	PE(16:1_20:5)	C41H70NO8P	NA	NA
Lipid00687	PE(18:2_18:4)	C41H70NO8P	NA	NA
Lipid00688	PE(18:3_18:3)	C41H70NO8P	NA	NA
Lipid00689	PE(13:0_22:0)	C40H80NO8P	NA	NA
Lipid00690	PE(15:0_20:0)	C40H80NO8P	NA	NA
Lipid00691	PE(16:0_19:0)	C40H80NO8P	NA	NA
Lipid00692	PE(17:0_18:0)	C40H80NO8P	NA	NA
Lipid00693	PE(18:3_18:4)	C41H68NO8P	NA	NA
Lipid00694	PE(15:0_20:1)	C40H78NO8P	NA	NA
Lipid00695	PE(16:1_19:0)	C40H78NO8P	NA	NA
Lipid00696	PE(16:0_19:1)	C40H78NO8P	NA	NA
Lipid00697	PE(17:0_18:1)	C40H78NO8P	NA	NA
Lipid00698	PE(17:1_18:0)	C40H78NO8P	NA	NA
Lipid00699	PE(18:4_18:4)	C41H66NO8P	NA	NA
Lipid00700	PE(15:0_20:2)	C40H76NO8P	NA	NA
Lipid00701	PE(16:1_19:1)	C40H76NO8P	NA	NA
Lipid00702	PE(17:0_18:2)	C40H76NO8P	NA	NA
Lipid00703	PE(17:1_18:1)	C40H76NO8P	NA	NA
Lipid00704	PE(15:0_20:3)	C40H74NO8P	NA	NA
Lipid00705	PE(17:0_18:3)	C40H74NO8P	NA	NA
Lipid00706	PE(17:1_18:2)	C40H74NO8P	NA	NA
Lipid00707	PE(15:0_20:4)	C40H72NO8P	NA	NA
Lipid00708	PE(17:0_18:4)	C40H72NO8P	NA	NA
Lipid00709	PE(17:1_18:3)	C40H72NO8P	NA	NA
Lipid00710	PE(15:0_20:5)	C40H70NO8P	NA	NA
Lipid00711	PE(17:1_18:4)	C40H70NO8P	NA	NA
Lipid00712	PE(12:0_22:0)	C39H78NO8P	NA	NA
Lipid00713	PE(14:0_20:0)	C39H78NO8P	NA	NA
Lipid00714	PE(15:0_19:0)	C39H78NO8P	NA	NA
Lipid00715	PE(16:0_18:0)	C39H78NO8P	NA	NA
Lipid00716	PE(17:0_17:0)	C39H78NO8P	NA	NA
Lipid00717	PE(14:0_20:1)	C39H76NO8P	NA	NA
Lipid00718	PE(15:0_19:1)	C39H76NO8P	NA	NA
Lipid00719	PE(16:1_18:0)	C39H76NO8P	NA	NA
Lipid00720	PE(16:0_18:1)	C39H76NO8P	NA	NA
Lipid00721	PE(17:0_17:1)	C39H76NO8P	NA	NA
Lipid00722	PE(14:0_20:2)	C39H74NO8P	NA	NA
Lipid00723	PE(16:1_18:1)	C39H74NO8P	NA	NA
Lipid00724	PE(16:0_18:2)	C39H74NO8P	NA	NA
Lipid00725	PE(17:1_17:1)	C39H74NO8P	NA	NA
Lipid00726	PE(14:0_20:3)	C39H72NO8P	NA	NA
Lipid00727	PE(16:1_18:2)	C39H72NO8P	NA	NA
Lipid00728	PE(16:0_18:3)	C39H72NO8P	NA	NA
Lipid00729	PE(14:0_20:4)	C39H70NO8P	NA	NA
Lipid00730	PE(16:1_18:3)	C39H70NO8P	NA	NA
Lipid00731	PE(16:0_18:4)	C39H70NO8P	NA	NA
Lipid00732	PE(14:0_20:5)	C39H68NO8P	NA	NA
Lipid00733	PE(16:1_18:4)	C39H68NO8P	NA	NA
Lipid00734	PE(13:0_20:0)	C38H76NO8P	NA	NA
Lipid00735	PE(14:0_19:0)	C38H76NO8P	NA	NA
Lipid00736	PE(15:0_18:0)	C38H76NO8P	NA	NA
Lipid00737	PE(16:0_17:0)	C38H76NO8P	NA	NA
Lipid00738	PE(13:0_20:1)	C38H74NO8P	NA	NA
Lipid00739	PE(14:0_19:1)	C38H74NO8P	NA	NA
Lipid00740	PE(15:0_18:1)	C38H74NO8P	NA	NA
Lipid00741	PE(16:1_17:0)	C38H74NO8P	NA	NA
Lipid00742	PE(16:0_17:1)	C38H74NO8P	NA	NA
Lipid00743	PE(13:0_20:2)	C38H72NO8P	NA	NA
Lipid00744	PE(15:0_18:2)	C38H72NO8P	NA	NA
Lipid00745	PE(16:1_17:1)	C38H72NO8P	NA	NA
Lipid00746	PE(13:0_20:3)	C38H70NO8P	NA	NA
Lipid00747	PE(15:0_18:3)	C38H70NO8P	NA	NA
Lipid00748	PE(13:0_20:4)	C38H68NO8P	NA	NA
Lipid00749	PE(15:0_18:4)	C38H68NO8P	NA	NA
Lipid00750	PE(13:0_20:5)	C38H66NO8P	NA	NA
Lipid00751	PE(12:0_20:0)	C37H74NO8P	NA	NA
Lipid00752	PE(13:0_19:0)	C37H74NO8P	NA	NA
Lipid00753	PE(14:0_18:0)	C37H74NO8P	NA	NA
Lipid00754	PE(15:0_17:0)	C37H74NO8P	NA	NA
Lipid00755	PE(16:0_16:0)	C37H74NO8P	NA	NA
Lipid00756	PE(12:0_20:1)	C37H72NO8P	NA	NA
Lipid00757	PE(13:0_19:1)	C37H72NO8P	NA	NA
Lipid00758	PE(14:0_18:1)	C37H72NO8P	NA	NA
Lipid00759	PE(15:0_17:1)	C37H72NO8P	NA	NA
Lipid00760	PE(16:0_16:1)	C37H72NO8P	NA	NA
Lipid00761	PE(12:0_20:2)	C37H70NO8P	NA	NA
Lipid00762	PE(14:0_18:2)	C37H70NO8P	NA	NA
Lipid00763	PE(16:1_16:1)	C37H70NO8P	NA	NA
Lipid00764	PE(12:0_20:3)	C37H68NO8P	NA	NA
Lipid00765	PE(14:0_18:3)	C37H68NO8P	NA	NA
Lipid00766	PE(12:0_20:4)	C37H66NO8P	NA	NA
Lipid00767	PE(14:0_18:4)	C37H66NO8P	NA	NA
Lipid00768	PE(12:0_20:5)	C37H64NO8P	NA	NA
Lipid00769	PE(12:0_19:0)	C36H72NO8P	NA	NA
Lipid00770	PE(13:0_18:0)	C36H72NO8P	NA	NA
Lipid00771	PE(14:0_17:0)	C36H72NO8P	NA	NA
Lipid00772	PE(15:0_16:0)	C36H72NO8P	NA	NA
Lipid00773	PE(12:0_19:1)	C36H70NO8P	NA	NA
Lipid00774	PE(13:0_18:1)	C36H70NO8P	NA	NA
Lipid00775	PE(14:0_17:1)	C36H70NO8P	NA	NA
Lipid00776	PE(15:0_16:1)	C36H70NO8P	NA	NA
Lipid00777	PE(13:0_18:2)	C36H68NO8P	NA	NA
Lipid00778	PE(13:0_18:3)	C36H66NO8P	NA	NA
Lipid00779	PE(13:0_18:4)	C36H64NO8P	NA	NA
Lipid00780	PE(12:0_18:0)	C35H70NO8P	NA	NA
Lipid00781	PE(13:0_17:0)	C35H70NO8P	NA	NA
Lipid00782	PE(14:0_16:0)	C35H70NO8P	NA	NA
Lipid00783	PE(15:0_15:0)	C35H70NO8P	NA	NA
Lipid00784	PE(12:0_18:1)	C35H68NO8P	NA	NA
Lipid00785	PE(13:0_17:1)	C35H68NO8P	NA	NA
Lipid00786	PE(14:0_16:1)	C35H68NO8P	NA	NA
Lipid00787	PE(12:0_18:2)	C35H66NO8P	NA	NA
Lipid00788	PE(12:0_18:3)	C35H64NO8P	NA	NA
Lipid00789	PE(12:0_18:4)	C35H62NO8P	NA	NA
Lipid00790	PE(12:0_17:0)	C34H68NO8P	NA	NA
Lipid00791	PE(13:0_16:0)	C34H68NO8P	NA	NA
Lipid00792	PE(14:0_15:0)	C34H68NO8P	NA	NA
Lipid00793	PE(12:0_17:1)	C34H66NO8P	NA	NA
Lipid00794	PE(13:0_16:1)	C34H66NO8P	NA	NA
Lipid00795	PE(12:0_16:0)	C33H66NO8P	NA	NA
Lipid00796	PE(13:0_15:0)	C33H66NO8P	NA	NA
Lipid00797	PE(14:0_14:0)	C33H66NO8P	NA	NA
Lipid00798	PE(12:0_16:1)	C33H64NO8P	NA	NA
Lipid00799	PE(12:0_15:0)	C32H64NO8P	NA	NA
Lipid00800	PE(13:0_14:0)	C32H64NO8P	NA	NA
Lipid00801	PE(12:0_14:0)	C31H62NO8P	NA	NA
Lipid00802	PE(13:0_13:0)	C31H62NO8P	NA	NA
Lipid00803	PE(12:0_13:0)	C30H60NO8P	NA	NA
Lipid00804	PE(12:0_12:0)	C29H58NO8P	NA	NA
Lipid00805	PE(0:0_22:0)	C27H56NO7P	NA	NA
Lipid00806	PE(0:0_20:5)	C25H42NO7P	NA	NA
Lipid00807	PE(0:0_20:4)	C25H44NO7P	NA	NA
Lipid00808	PE(0:0_20:3)	C25H46NO7P	NA	NA
Lipid00809	PE(0:0_20:2)	C25H48NO7P	NA	NA
Lipid00810	PE(0:0_20:1)	C25H50NO7P	NA	NA
Lipid00811	PE(0:0_20:0)	C25H52NO7P	NA	NA
Lipid00812	PE(0:0_19:0)	C24H50NO7P	NA	NA
Lipid00813	PE(0:0_19:1)	C24H48NO7P	NA	NA
Lipid00814	PE(0:0_18:4)	C23H40NO7P	NA	NA
Lipid00815	PE(0:0_18:3)	C23H42NO7P	NA	NA
Lipid00816	PE(0:0_18:2)	C23H44NO7P	NA	NA
Lipid00817	PE(0:0_18:1)	C23H46NO7P	NA	NA
Lipid00818	PE(0:0_18:0)	C23H48NO7P	NA	NA
Lipid00819	PE(0:0_17:0)	C22H46NO7P	NA	NA
Lipid00820	PE(0:0_17:1)	C22H44NO7P	NA	NA
Lipid00821	PE(0:0_16:1)	C21H42NO7P	NA	NA
Lipid00822	PE(0:0_16:0)	C21H44NO7P	NA	NA
Lipid00823	PE(0:0_15:0)	C20H42NO7P	NA	NA
Lipid00824	PE(0:0_14:0)	C19H40NO7P	NA	NA
Lipid00825	PE(0:0_13:0)	C18H38NO7P	NA	NA
Lipid00826	PE(0:0_12:0)	C17H36NO7P	NA	NA
