id	lipid	formula	adduct	template_file
Lipid00097	PA(18:1_20:0)	C41H79O8P	NA	NA
Lipid00098	PA(18:0_20:5)	C41H71O8P	NA	NA
Lipid00099	PA(18:0_20:4)	C41H73O8P	NA	NA
Lipid00100	PA(18:0_20:3)	C41H75O8P	NA	NA
Lipid00101	PA(18:0_20:2)	C41H77O8P	NA	NA
Lipid00102	PA(18:0_20:1)	C41H79O8P	NA	NA
Lipid00103	PA(18:0_20:0)	C41H81O8P	NA	NA
Lipid00104	PA(19:0_19:1)	C41H79O8P	NA	NA
Lipid00105	PA(19:0_19:0)	C41H81O8P	NA	NA
Lipid00106	PA(19:1_19:1)	C41H77O8P	NA	NA
Lipid00107	PA(15:0_22:0)	C40H79O8P	NA	NA
Lipid00108	PA(17:0_20:5)	C40H69O8P	NA	NA
Lipid00109	PA(17:0_20:4)	C40H71O8P	NA	NA
Lipid00110	PA(17:0_20:3)	C40H73O8P	NA	NA
Lipid00111	PA(17:0_20:2)	C40H75O8P	NA	NA
Lipid00112	PA(17:0_20:1)	C40H77O8P	NA	NA
Lipid00113	PA(17:0_20:0)	C40H79O8P	NA	NA
Lipid00114	PA(17:1_20:5)	C40H67O8P	NA	NA
Lipid00115	PA(17:1_20:4)	C40H69O8P	NA	NA
Lipid00116	PA(17:1_20:3)	C40H71O8P	NA	NA
Lipid00117	PA(17:1_20:2)	C40H73O8P	NA	NA
Lipid00118	PA(17:1_20:1)	C40H75O8P	NA	NA
Lipid00119	PA(17:1_20:0)	C40H77O8P	NA	NA
Lipid00120	PA(18:4_19:1)	C40H69O8P	NA	NA
Lipid00121	PA(18:4_19:0)	C40H71O8P	NA	NA
Lipid00122	PA(18:3_19:1)	C40H71O8P	NA	NA
Lipid00123	PA(18:3_19:0)	C40H73O8P	NA	NA
Lipid00124	PA(18:2_19:1)	C40H73O8P	NA	NA
Lipid00125	PA(18:2_19:0)	C40H75O8P	NA	NA
Lipid00126	PA(18:1_19:1)	C40H75O8P	NA	NA
Lipid00127	PA(18:1_19:0)	C40H77O8P	NA	NA
Lipid00128	PA(18:0_19:1)	C40H77O8P	NA	NA
Lipid00129	PA(18:0_19:0)	C40H79O8P	NA	NA
Lipid00130	PA(14:0_22:0)	C39H77O8P	NA	NA
Lipid00131	PA(16:1_20:5)	C39H65O8P	NA	NA
Lipid00132	PA(16:1_20:4)	C39H67O8P	NA	NA
Lipid00133	PA(16:1_20:3)	C39H69O8P	NA	NA
Lipid00134	PA(16:1_20:2)	C39H71O8P	NA	NA
Lipid00135	PA(16:1_20:1)	C39H73O8P	NA	NA
Lipid00136	PA(16:1_20:0)	C39H75O8P	NA	NA
Lipid00137	PA(16:0_20:5)	C39H67O8P	NA	NA
Lipid00138	PA(16:0_20:4)	C39H69O8P	NA	NA
Lipid00139	PA(16:0_20:3)	C39H71O8P	NA	NA
Lipid00140	PA(16:0_20:2)	C39H73O8P	NA	NA
Lipid00141	PA(16:0_20:1)	C39H75O8P	NA	NA
Lipid00142	PA(16:0_20:0)	C39H77O8P	NA	NA
Lipid00143	PA(17:0_19:1)	C39H75O8P	NA	NA
Lipid00144	PA(17:0_19:0)	C39H77O8P	NA	NA
Lipid00145	PA(17:1_19:1)	C39H73O8P	NA	NA
Lipid00146	PA(17:1_19:0)	C39H75O8P	NA	NA
Lipid00147	PA(18:4_18:4)	C39H61O8P	NA	NA
Lipid00148	PA(18:3_18:4)	C39H63O8P	NA	NA
Lipid00149	PA(18:2_18:4)	C39H65O8P	NA	NA
Lipid00150	PA(18:1_18:4)	C39H67O8P	NA	NA
Lipid00151	PA(18:0_18:4)	C39H69O8P	NA	NA
Lipid00152	PA(18:3_18:3)	C39H65O8P	NA	NA
Lipid00153	PA(18:2_18:3)	C39H67O8P	NA	NA
Lipid00154	PA(18:1_18:3)	C39H69O8P	NA	NA
