name	formula	exactmass	adduct	mz
PG(41:0)	C47H93O10P	848.6506362	[M-H]-	847.6433597
PG(40:4)	C46H83O10P	826.5723859	[M-H]-	825.5651094
PG(40:3)	C46H85O10P	828.5880359	[M-H]-	827.5807595
PG(40:2)	C46H87O10P	830.603686	[M-H]-	829.5964095
PG(40:1)	C46H89O10P	832.6193361	[M-H]-	831.6120596
PG(40:0)	C46H91O10P	834.6349861	[M-H]-	833.6277097
PG(40:10)	C46H71O10P	814.4784855	[M-H]-	813.471209
PG(40:9)	C46H73O10P	816.4941355	[M-H]-	815.4868591
PG(40:8)	C46H75O10P	818.5097856	[M-H]-	817.5025092
PG(40:7)	C46H77O10P	820.5254357	[M-H]-	819.5181592
PG(40:6)	C46H79O10P	822.5410857	[M-H]-	821.5338093
PG(40:5)	C46H81O10P	824.5567358	[M-H]-	823.5494594
PG(39:1)	C45H87O10P	818.603686	[M-H]-	817.5964095
PG(39:0)	C45H89O10P	820.6193361	[M-H]-	819.6120596
PG(39:6)	C45H77O10P	808.5254357	[M-H]-	807.5181592
PG(39:5)	C45H79O10P	810.5410857	[M-H]-	809.5338093
PG(39:4)	C45H81O10P	812.5567358	[M-H]-	811.5494594
PG(39:3)	C45H83O10P	814.5723859	[M-H]-	813.5651094
PG(39:2)	C45H85O10P	816.5880359	[M-H]-	815.5807595
PG(38:1)	C44H85O10P	804.5880359	[M-H]-	803.5807595
PG(38:0)	C44H87O10P	806.603686	[M-H]-	805.5964095
PG(38:9)	C44H69O10P	788.4628354	[M-H]-	787.455559
PG(38:8)	C44H71O10P	790.4784855	[M-H]-	789.471209
PG(38:7)	C44H73O10P	792.4941355	[M-H]-	791.4868591
PG(38:6)	C44H75O10P	794.5097856	[M-H]-	793.5025092
PG(38:5)	C44H77O10P	796.5254357	[M-H]-	795.5181592
PG(38:4)	C44H79O10P	798.5410857	[M-H]-	797.5338093
PG(38:3)	C44H81O10P	800.5567358	[M-H]-	799.5494594
PG(38:2)	C44H83O10P	802.5723859	[M-H]-	801.5651094
PG(37:0)	C43H85O10P	792.5880359	[M-H]-	791.5807595
PG(37:6)	C43H73O10P	780.4941355	[M-H]-	779.4868591
PG(37:5)	C43H75O10P	782.5097856	[M-H]-	781.5025092
PG(37:4)	C43H77O10P	784.5254357	[M-H]-	783.5181592
PG(37:3)	C43H79O10P	786.5410857	[M-H]-	785.5338093
PG(37:2)	C43H81O10P	788.5567358	[M-H]-	787.5494594
PG(37:1)	C43H83O10P	790.5723859	[M-H]-	789.5651094
PG(36:0)	C42H83O10P	778.5723859	[M-H]-	777.5651094
PG(36:6)	C42H71O10P	766.4784855	[M-H]-	765.471209
PG(36:5)	C42H73O10P	768.4941355	[M-H]-	767.4868591
PG(36:4)	C42H75O10P	770.5097856	[M-H]-	769.5025092
PG(36:3)	C42H77O10P	772.5254357	[M-H]-	771.5181592
PG(36:2)	C42H79O10P	774.5410857	[M-H]-	773.5338093
PG(36:1)	C42H81O10P	776.5567358	[M-H]-	775.5494594
PG(36:8)	C42H67O10P	762.4471854	[M-H]-	761.4399089
PG(36:7)	C42H69O10P	764.4628354	[M-H]-	763.455559
