name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
PA(16:0)	C19H39O7P	"NA"	"NA"	"NA"	410.2433406	[M-H]-	409.2360646
PA(15:0)	C18H37O7P	"NA"	"NA"	"NA"	396.2276905	[M-H]-	395.2204145
PA(14:0)	C17H35O7P	"NA"	"NA"	"NA"	382.2120405	[M-H]-	381.2047645
PA(13:0)	C16H33O7P	"NA"	"NA"	"NA"	368.1963904	[M-H]-	367.1891144
PA(12:0)	C15H31O7P	"NA"	"NA"	"NA"	354.1807403	[M-H]-	353.17346430000003
PA(44:0)	C47H93O8P	"NA"	"NA"	"NA"	816.660807	[M-H]-	815.6535309999999
PA(42:5)	C45H79O8P	"NA"	"NA"	"NA"	778.5512565	[M-H]-	777.5439805
PA(42:4)	C45H81O8P	"NA"	"NA"	"NA"	780.5669066	[M-H]-	779.5596306
PA(42:3)	C45H83O8P	"NA"	"NA"	"NA"	782.5825566	[M-H]-	781.5752805999999
PA(42:2)	C45H85O8P	"NA"	"NA"	"NA"	784.5982067	[M-H]-	783.5909307
PA(42:1)	C45H87O8P	"NA"	"NA"	"NA"	786.6138568	[M-H]-	785.6065808
PA(42:0)	C45H89O8P	"NA"	"NA"	"NA"	788.6295068	[M-H]-	787.6222307999999
PA(41:0)	C44H87O8P	"NA"	"NA"	"NA"	774.6138568	[M-H]-	773.6065808
PA(41:1)	C44H85O8P	"NA"	"NA"	"NA"	772.5982067	[M-H]-	771.5909307
PA(40:4)	C43H77O8P	"NA"	"NA"	"NA"	752.5356064	[M-H]-	751.5283304
PA(40:3)	C43H79O8P	"NA"	"NA"	"NA"	754.5512565	[M-H]-	753.5439805
PA(40:2)	C43H81O8P	"NA"	"NA"	"NA"	756.5669066	[M-H]-	755.5596306
PA(40:1)	C43H83O8P	"NA"	"NA"	"NA"	758.5825566	[M-H]-	757.5752805999999
PA(40:0)	C43H85O8P	"NA"	"NA"	"NA"	760.5982067	[M-H]-	759.5909307
PA(40:10)	C43H65O8P	"NA"	"NA"	"NA"	740.4417061	[M-H]-	739.4344301
PA(40:9)	C43H67O8P	"NA"	"NA"	"NA"	742.4573561	[M-H]-	741.4500800999999
PA(40:8)	C43H69O8P	"NA"	"NA"	"NA"	744.4730062	[M-H]-	743.4657301999999
PA(40:7)	C43H71O8P	"NA"	"NA"	"NA"	746.4886562	[M-H]-	745.4813802
PA(40:6)	C43H73O8P	"NA"	"NA"	"NA"	748.5043063	[M-H]-	747.4970303
PA(40:5)	C43H75O8P	"NA"	"NA"	"NA"	750.5199564	[M-H]-	749.5126803999999
PA(39:0)	C42H83O8P	"NA"	"NA"	"NA"	746.5825566	[M-H]-	745.5752805999999
PA(39:1)	C42H81O8P	"NA"	"NA"	"NA"	744.5669066	[M-H]-	743.5596306
PA(39:5)	C42H73O8P	"NA"	"NA"	"NA"	736.5043063	[M-H]-	735.4970303
PA(39:4)	C42H75O8P	"NA"	"NA"	"NA"	738.5199564	[M-H]-	737.5126803999999
PA(39:3)	C42H77O8P	"NA"	"NA"	"NA"	740.5356064	[M-H]-	739.5283304
PA(39:2)	C42H79O8P	"NA"	"NA"	"NA"	742.5512565	[M-H]-	741.5439805
PA(39:6)	C42H71O8P	"NA"	"NA"	"NA"	734.4886562	[M-H]-	733.4813802
PA(38:1)	C41H79O8P	"NA"	"NA"	"NA"	730.5512565	[M-H]-	729.5439805
PA(38:0)	C41H81O8P	"NA"	"NA"	"NA"	732.5669066	[M-H]-	731.5596306
PA(38:9)	C41H63O8P	"NA"	"NA"	"NA"	714.426056	[M-H]-	713.41878
PA(38:8)	C41H65O8P	"NA"	"NA"	"NA"	716.4417061	[M-H]-	715.4344301
PA(38:7)	C41H67O8P	"NA"	"NA"	"NA"	718.4573561	[M-H]-	717.4500800999999
PA(38:6)	C41H69O8P	"NA"	"NA"	"NA"	720.4730062	[M-H]-	719.4657301999999
PA(38:5)	C41H71O8P	"NA"	"NA"	"NA"	722.4886562	[M-H]-	721.4813802
PA(38:4)	C41H73O8P	"NA"	"NA"	"NA"	724.5043063	[M-H]-	723.4970303
PA(38:3)	C41H75O8P	"NA"	"NA"	"NA"	726.5199564	[M-H]-	725.5126803999999
PA(38:2)	C41H77O8P	"NA"	"NA"	"NA"	728.5356064	[M-H]-	727.5283304
PA(37:0)	C40H79O8P	"NA"	"NA"	"NA"	718.5512565	[M-H]-	717.5439805
PA(37:5)	C40H69O8P	"NA"	"NA"	"NA"	708.4730062	[M-H]-	707.4657301999999
PA(37:4)	C40H71O8P	"NA"	"NA"	"NA"	710.4886562	[M-H]-	709.4813802
PA(37:3)	C40H73O8P	"NA"	"NA"	"NA"	712.5043063	[M-H]-	711.4970303
PA(37:2)	C40H75O8P	"NA"	"NA"	"NA"	714.5199564	[M-H]-	713.5126803999999
PA(37:1)	C40H77O8P	"NA"	"NA"	"NA"	716.5356064	[M-H]-	715.5283304
PA(37:6)	C40H67O8P	"NA"	"NA"	"NA"	706.4573561	[M-H]-	705.4500800999999
PA(36:0)	C39H77O8P	"NA"	"NA"	"NA"	704.5356064	[M-H]-	703.5283304
PA(36:6)	C39H65O8P	"NA"	"NA"	"NA"	692.4417061	[M-H]-	691.4344301
PA(36:5)	C39H67O8P	"NA"	"NA"	"NA"	694.4573561	[M-H]-	693.4500800999999
PA(36:4)	C39H69O8P	"NA"	"NA"	"NA"	696.4730062	[M-H]-	695.4657301999999
PA(36:3)	C39H71O8P	"NA"	"NA"	"NA"	698.4886562	[M-H]-	697.4813802
PA(36:2)	C39H73O8P	"NA"	"NA"	"NA"	700.5043063	[M-H]-	699.4970303
PA(36:1)	C39H75O8P	"NA"	"NA"	"NA"	702.5199564	[M-H]-	701.5126803999999
PA(36:8)	C39H61O8P	"NA"	"NA"	"NA"	688.4104059	[M-H]-	687.4031299
PA(36:7)	C39H63O8P	"NA"	"NA"	"NA"	690.426056	[M-H]-	689.41878
PA(35:0)	C38H75O8P	"NA"	"NA"	"NA"	690.5199564	[M-H]-	689.5126803999999
PA(35:5)	C38H65O8P	"NA"	"NA"	"NA"	680.4417061	[M-H]-	679.4344301
PA(35:4)	C38H67O8P	"NA"	"NA"	"NA"	682.4573561	[M-H]-	681.4500800999999
PA(35:3)	C38H69O8P	"NA"	"NA"	"NA"	684.4730062	[M-H]-	683.4657301999999
PA(35:2)	C38H71O8P	"NA"	"NA"	"NA"	686.4886562	[M-H]-	685.4813802
PA(35:1)	C38H73O8P	"NA"	"NA"	"NA"	688.5043063	[M-H]-	687.4970303
PA(34:0)	C37H73O8P	"NA"	"NA"	"NA"	676.5043063	[M-H]-	675.4970303
PA(34:5)	C37H63O8P	"NA"	"NA"	"NA"	666.426056	[M-H]-	665.41878
PA(34:4)	C37H65O8P	"NA"	"NA"	"NA"	668.4417061	[M-H]-	667.4344301
PA(34:3)	C37H67O8P	"NA"	"NA"	"NA"	670.4573561	[M-H]-	669.4500800999999
PA(34:2)	C37H69O8P	"NA"	"NA"	"NA"	672.4730062	[M-H]-	671.4657301999999
PA(34:1)	C37H71O8P	"NA"	"NA"	"NA"	674.4886562	[M-H]-	673.4813802
PA(33:5)	C36H61O8P	"NA"	"NA"	"NA"	652.4104059	[M-H]-	651.4031299
PA(33:4)	C36H63O8P	"NA"	"NA"	"NA"	654.426056	[M-H]-	653.41878
PA(33:3)	C36H65O8P	"NA"	"NA"	"NA"	656.4417061	[M-H]-	655.4344301
PA(33:2)	C36H67O8P	"NA"	"NA"	"NA"	658.4573561	[M-H]-	657.4500800999999
PA(33:1)	C36H69O8P	"NA"	"NA"	"NA"	660.4730062	[M-H]-	659.4657301999999
PA(33:0)	C36H71O8P	"NA"	"NA"	"NA"	662.4886562	[M-H]-	661.4813802
PA(32:5)	C35H59O8P	"NA"	"NA"	"NA"	638.3947559	[M-H]-	637.3874798999999
PA(32:4)	C35H61O8P	"NA"	"NA"	"NA"	640.4104059	[M-H]-	639.4031299
PA(32:3)	C35H63O8P	"NA"	"NA"	"NA"	642.426056	[M-H]-	641.41878
PA(32:2)	C35H65O8P	"NA"	"NA"	"NA"	644.4417061	[M-H]-	643.4344301
PA(32:1)	C35H67O8P	"NA"	"NA"	"NA"	646.4573561	[M-H]-	645.4500800999999
PA(32:0)	C35H69O8P	"NA"	"NA"	"NA"	648.4730062	[M-H]-	647.4657301999999
PA(31:1)	C34H65O8P	"NA"	"NA"	"NA"	632.4417061	[M-H]-	631.4344301
PA(31:0)	C34H67O8P	"NA"	"NA"	"NA"	634.4573561	[M-H]-	633.4500800999999
PA(31:4)	C34H59O8P	"NA"	"NA"	"NA"	626.3947559	[M-H]-	625.3874798999999
PA(31:3)	C34H61O8P	"NA"	"NA"	"NA"	628.4104059	[M-H]-	627.4031299
PA(31:2)	C34H63O8P	"NA"	"NA"	"NA"	630.426056	[M-H]-	629.41878
PA(30:4)	C33H57O8P	"NA"	"NA"	"NA"	612.3791058	[M-H]-	611.3718298
PA(30:3)	C33H59O8P	"NA"	"NA"	"NA"	614.3947559	[M-H]-	613.3874798999999
PA(30:2)	C33H61O8P	"NA"	"NA"	"NA"	616.4104059	[M-H]-	615.4031299
PA(30:1)	C33H63O8P	"NA"	"NA"	"NA"	618.426056	[M-H]-	617.41878
PA(30:0)	C33H65O8P	"NA"	"NA"	"NA"	620.4417061	[M-H]-	619.4344301
PA(29:1)	C32H61O8P	"NA"	"NA"	"NA"	604.4104059	[M-H]-	603.4031299
PA(29:0)	C32H63O8P	"NA"	"NA"	"NA"	606.426056	[M-H]-	605.41878
PA(28:1)	C31H59O8P	"NA"	"NA"	"NA"	590.3947559	[M-H]-	589.3874798999999
PA(28:0)	C31H61O8P	"NA"	"NA"	"NA"	592.4104059	[M-H]-	591.4031299
PA(27:0)	C30H59O8P	"NA"	"NA"	"NA"	578.3947559	[M-H]-	577.3874798999999
PA(26:0)	C29H57O8P	"NA"	"NA"	"NA"	564.3791058	[M-H]-	563.3718298
PA(25:0)	C28H55O8P	"NA"	"NA"	"NA"	550.3634557	[M-H]-	549.3561797
PA(24:0)	C27H53O8P	"NA"	"NA"	"NA"	536.3478057	[M-H]-	535.3405296999999
PC(44:0)	C52H104NO8P	"NA"	"NA"	"NA"	901.7499563	[M-H]-	900.7426803
PC(42:5)	C50H90NO8P	"NA"	"NA"	"NA"	863.6404059	[M-H]-	862.6331299
PC(42:4)	C50H92NO8P	"NA"	"NA"	"NA"	865.6560559	[M-H]-	864.6487798999999
PC(42:3)	C50H94NO8P	"NA"	"NA"	"NA"	867.671706	[M-H]-	866.6644299999999
PC(42:2)	C50H96NO8P	"NA"	"NA"	"NA"	869.6873561	[M-H]-	868.6800800999999
PC(42:1)	C50H98NO8P	"NA"	"NA"	"NA"	871.7030061	[M-H]-	870.6957301
PC(42:0)	C50H100NO8P	"NA"	"NA"	"NA"	873.7186562	[M-H]-	872.7113802
PC(41:0)	C49H98NO8P	"NA"	"NA"	"NA"	859.7030061	[M-H]-	858.6957301
PC(41:1)	C49H96NO8P	"NA"	"NA"	"NA"	857.6873561	[M-H]-	856.6800800999999
PC(40:4)	C48H88NO8P	"NA"	"NA"	"NA"	837.6247558	[M-H]-	836.6174798
PC(40:3)	C48H90NO8P	"NA"	"NA"	"NA"	839.6404059	[M-H]-	838.6331299
PC(40:2)	C48H92NO8P	"NA"	"NA"	"NA"	841.6560559	[M-H]-	840.6487798999999
PC(40:1)	C48H94NO8P	"NA"	"NA"	"NA"	843.671706	[M-H]-	842.6644299999999
PC(40:0)	C48H96NO8P	"NA"	"NA"	"NA"	845.6873561	[M-H]-	844.6800800999999
PC(40:10)	C48H76NO8P	"NA"	"NA"	"NA"	825.5308554	[M-H]-	824.5235793999999
PC(40:9)	C48H78NO8P	"NA"	"NA"	"NA"	827.5465055	[M-H]-	826.5392294999999
PC(40:8)	C48H80NO8P	"NA"	"NA"	"NA"	829.5621555	[M-H]-	828.5548795
PC(40:7)	C48H82NO8P	"NA"	"NA"	"NA"	831.5778056	[M-H]-	830.5705296
PC(40:6)	C48H84NO8P	"NA"	"NA"	"NA"	833.5934557	[M-H]-	832.5861797
PC(40:5)	C48H86NO8P	"NA"	"NA"	"NA"	835.6091057	[M-H]-	834.6018296999999
PC(39:0)	C47H94NO8P	"NA"	"NA"	"NA"	831.671706	[M-H]-	830.6644299999999
PC(39:1)	C47H92NO8P	"NA"	"NA"	"NA"	829.6560559	[M-H]-	828.6487798999999
PC(39:5)	C47H84NO8P	"NA"	"NA"	"NA"	821.5934557	[M-H]-	820.5861797
PC(39:4)	C47H86NO8P	"NA"	"NA"	"NA"	823.6091057	[M-H]-	822.6018296999999
PC(39:3)	C47H88NO8P	"NA"	"NA"	"NA"	825.6247558	[M-H]-	824.6174798
PC(39:2)	C47H90NO8P	"NA"	"NA"	"NA"	827.6404059	[M-H]-	826.6331299
PC(39:6)	C47H82NO8P	"NA"	"NA"	"NA"	819.5778056	[M-H]-	818.5705296
PC(38:1)	C46H90NO8P	"NA"	"NA"	"NA"	815.6404059	[M-H]-	814.6331299
PC(38:0)	C46H92NO8P	"NA"	"NA"	"NA"	817.6560559	[M-H]-	816.6487798999999
PC(38:9)	C46H74NO8P	"NA"	"NA"	"NA"	799.5152053	[M-H]-	798.5079293
PC(38:8)	C46H76NO8P	"NA"	"NA"	"NA"	801.5308554	[M-H]-	800.5235793999999
PC(38:7)	C46H78NO8P	"NA"	"NA"	"NA"	803.5465055	[M-H]-	802.5392294999999
PC(38:6)	C46H80NO8P	"NA"	"NA"	"NA"	805.5621555	[M-H]-	804.5548795
PC(38:5)	C46H82NO8P	"NA"	"NA"	"NA"	807.5778056	[M-H]-	806.5705296
PC(38:4)	C46H84NO8P	"NA"	"NA"	"NA"	809.5934557	[M-H]-	808.5861797
PC(38:3)	C46H86NO8P	"NA"	"NA"	"NA"	811.6091057	[M-H]-	810.6018296999999
PC(38:2)	C46H88NO8P	"NA"	"NA"	"NA"	813.6247558	[M-H]-	812.6174798
PC(37:0)	C45H90NO8P	"NA"	"NA"	"NA"	803.6404059	[M-H]-	802.6331299
PC(37:5)	C45H80NO8P	"NA"	"NA"	"NA"	793.5621555	[M-H]-	792.5548795
PC(37:4)	C45H82NO8P	"NA"	"NA"	"NA"	795.5778056	[M-H]-	794.5705296
PC(37:3)	C45H84NO8P	"NA"	"NA"	"NA"	797.5934557	[M-H]-	796.5861797
PC(37:2)	C45H86NO8P	"NA"	"NA"	"NA"	799.6091057	[M-H]-	798.6018296999999
PC(37:1)	C45H88NO8P	"NA"	"NA"	"NA"	801.6247558	[M-H]-	800.6174798
PC(37:6)	C45H78NO8P	"NA"	"NA"	"NA"	791.5465055	[M-H]-	790.5392294999999
PC(36:0)	C44H88NO8P	"NA"	"NA"	"NA"	789.6247558	[M-H]-	788.6174798
PC(36:6)	C44H76NO8P	"NA"	"NA"	"NA"	777.5308554	[M-H]-	776.5235793999999
PC(36:5)	C44H78NO8P	"NA"	"NA"	"NA"	779.5465055	[M-H]-	778.5392294999999
PC(36:4)	C44H80NO8P	"NA"	"NA"	"NA"	781.5621555	[M-H]-	780.5548795
PC(36:3)	C44H82NO8P	"NA"	"NA"	"NA"	783.5778056	[M-H]-	782.5705296
PC(36:2)	C44H84NO8P	"NA"	"NA"	"NA"	785.5934557	[M-H]-	784.5861797
PC(36:1)	C44H86NO8P	"NA"	"NA"	"NA"	787.6091057	[M-H]-	786.6018296999999
PC(36:8)	C44H72NO8P	"NA"	"NA"	"NA"	773.4995553	[M-H]-	772.4922793
PC(36:7)	C44H74NO8P	"NA"	"NA"	"NA"	775.5152053	[M-H]-	774.5079293
PC(35:0)	C43H86NO8P	"NA"	"NA"	"NA"	775.6091057	[M-H]-	774.6018296999999
PC(35:5)	C43H76NO8P	"NA"	"NA"	"NA"	765.5308554	[M-H]-	764.5235793999999
PC(35:4)	C43H78NO8P	"NA"	"NA"	"NA"	767.5465055	[M-H]-	766.5392294999999
PC(35:3)	C43H80NO8P	"NA"	"NA"	"NA"	769.5621555	[M-H]-	768.5548795
PC(35:2)	C43H82NO8P	"NA"	"NA"	"NA"	771.5778056	[M-H]-	770.5705296
PC(35:1)	C43H84NO8P	"NA"	"NA"	"NA"	773.5934557	[M-H]-	772.5861797
PC(34:0)	C42H84NO8P	"NA"	"NA"	"NA"	761.5934557	[M-H]-	760.5861797
PC(34:5)	C42H74NO8P	"NA"	"NA"	"NA"	751.5152053	[M-H]-	750.5079293
PC(34:4)	C42H76NO8P	"NA"	"NA"	"NA"	753.5308554	[M-H]-	752.5235793999999
PC(34:3)	C42H78NO8P	"NA"	"NA"	"NA"	755.5465055	[M-H]-	754.5392294999999
PC(34:2)	C42H80NO8P	"NA"	"NA"	"NA"	757.5621555	[M-H]-	756.5548795
PC(34:1)	C42H82NO8P	"NA"	"NA"	"NA"	759.5778056	[M-H]-	758.5705296
PC(33:5)	C41H72NO8P	"NA"	"NA"	"NA"	737.4995553	[M-H]-	736.4922793
PC(33:4)	C41H74NO8P	"NA"	"NA"	"NA"	739.5152053	[M-H]-	738.5079293
PC(33:3)	C41H76NO8P	"NA"	"NA"	"NA"	741.5308554	[M-H]-	740.5235793999999
PC(33:2)	C41H78NO8P	"NA"	"NA"	"NA"	743.5465055	[M-H]-	742.5392294999999
PC(33:1)	C41H80NO8P	"NA"	"NA"	"NA"	745.5621555	[M-H]-	744.5548795
PC(33:0)	C41H82NO8P	"NA"	"NA"	"NA"	747.5778056	[M-H]-	746.5705296
PC(32:5)	C40H70NO8P	"NA"	"NA"	"NA"	723.4839052	[M-H]-	722.4766291999999
PC(32:4)	C40H72NO8P	"NA"	"NA"	"NA"	725.4995553	[M-H]-	724.4922793
PC(32:3)	C40H74NO8P	"NA"	"NA"	"NA"	727.5152053	[M-H]-	726.5079293
PC(32:2)	C40H76NO8P	"NA"	"NA"	"NA"	729.5308554	[M-H]-	728.5235793999999
PC(32:1)	C40H78NO8P	"NA"	"NA"	"NA"	731.5465055	[M-H]-	730.5392294999999
PC(32:0)	C40H80NO8P	"NA"	"NA"	"NA"	733.5621555	[M-H]-	732.5548795
PC(31:1)	C39H76NO8P	"NA"	"NA"	"NA"	717.5308554	[M-H]-	716.5235793999999
PC(31:0)	C39H78NO8P	"NA"	"NA"	"NA"	719.5465055	[M-H]-	718.5392294999999
PC(31:4)	C39H70NO8P	"NA"	"NA"	"NA"	711.4839052	[M-H]-	710.4766291999999
PC(31:3)	C39H72NO8P	"NA"	"NA"	"NA"	713.4995553	[M-H]-	712.4922793
PC(31:2)	C39H74NO8P	"NA"	"NA"	"NA"	715.5152053	[M-H]-	714.5079293
PC(30:4)	C38H68NO8P	"NA"	"NA"	"NA"	697.4682552	[M-H]-	696.4609792
PC(30:3)	C38H70NO8P	"NA"	"NA"	"NA"	699.4839052	[M-H]-	698.4766291999999
PC(30:2)	C38H72NO8P	"NA"	"NA"	"NA"	701.4995553	[M-H]-	700.4922793
PC(30:1)	C38H74NO8P	"NA"	"NA"	"NA"	703.5152053	[M-H]-	702.5079293
PC(30:0)	C38H76NO8P	"NA"	"NA"	"NA"	705.5308554	[M-H]-	704.5235793999999
PC(29:1)	C37H72NO8P	"NA"	"NA"	"NA"	689.4995553	[M-H]-	688.4922793
PC(29:0)	C37H74NO8P	"NA"	"NA"	"NA"	691.5152053	[M-H]-	690.5079293
PC(28:1)	C36H70NO8P	"NA"	"NA"	"NA"	675.4839052	[M-H]-	674.4766291999999
PC(28:0)	C36H72NO8P	"NA"	"NA"	"NA"	677.4995553	[M-H]-	676.4922793
PC(27:0)	C35H70NO8P	"NA"	"NA"	"NA"	663.4839052	[M-H]-	662.4766291999999
PC(26:0)	C34H68NO8P	"NA"	"NA"	"NA"	649.4682552	[M-H]-	648.4609792
PC(25:0)	C33H66NO8P	"NA"	"NA"	"NA"	635.4526051	[M-H]-	634.4453291
PC(24:0)	C32H64NO8P	"NA"	"NA"	"NA"	621.436955	[M-H]-	620.429679
PC(22:0)	C30H62NO7P	"NA"	"NA"	"NA"	579.4263903	[M-H]-	578.4191142999999
PC(20:5)	C28H48NO7P	"NA"	"NA"	"NA"	541.3168399	[M-H]-	540.3095639
PC(20:4)	C28H50NO7P	"NA"	"NA"	"NA"	543.33249	[M-H]-	542.325214
PC(20:3)	C28H52NO7P	"NA"	"NA"	"NA"	545.34814	[M-H]-	544.3408639999999
PC(20:2)	C28H54NO7P	"NA"	"NA"	"NA"	547.3637901	[M-H]-	546.3565140999999
PC(20:1)	C28H56NO7P	"NA"	"NA"	"NA"	549.3794401	[M-H]-	548.3721641
PC(20:0)	C28H58NO7P	"NA"	"NA"	"NA"	551.3950902	[M-H]-	550.3878142
PC(19:0)	C27H56NO7P	"NA"	"NA"	"NA"	537.3794401	[M-H]-	536.3721641
PC(19:1)	C27H54NO7P	"NA"	"NA"	"NA"	535.3637901	[M-H]-	534.3565140999999
PC(18:4)	C26H46NO7P	"NA"	"NA"	"NA"	515.3011898	[M-H]-	514.2939137999999
PC(18:3)	C26H48NO7P	"NA"	"NA"	"NA"	517.3168399	[M-H]-	516.3095639
PC(18:2)	C26H50NO7P	"NA"	"NA"	"NA"	519.33249	[M-H]-	518.325214
PC(18:1)	C26H52NO7P	"NA"	"NA"	"NA"	521.34814	[M-H]-	520.3408639999999
PC(18:0)	C26H54NO7P	"NA"	"NA"	"NA"	523.3637901	[M-H]-	522.3565140999999
PC(17:0)	C25H52NO7P	"NA"	"NA"	"NA"	509.34814	[M-H]-	508.340864
