name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
PA(16:0)	C19H39O7P	"NA"	"NA"	"NA"	410.2433406	[M+H]+	411.2506166
PA(15:0)	C18H37O7P	"NA"	"NA"	"NA"	396.2276905	[M+H]+	397.2349665
PA(14:0)	C17H35O7P	"NA"	"NA"	"NA"	382.2120405	[M+H]+	383.2193165
PA(13:0)	C16H33O7P	"NA"	"NA"	"NA"	368.1963904	[M+H]+	369.2036664
PA(12:0)	C15H31O7P	"NA"	"NA"	"NA"	354.1807403	[M+H]+	355.1880163
PA(44:0)	C47H93O8P	"NA"	"NA"	"NA"	816.660807	[M+H]+	817.668083
PA(42:5)	C45H79O8P	"NA"	"NA"	"NA"	778.5512565	[M+H]+	779.5585325000001
PA(42:4)	C45H81O8P	"NA"	"NA"	"NA"	780.5669066	[M+H]+	781.5741826000001
PA(42:3)	C45H83O8P	"NA"	"NA"	"NA"	782.5825566	[M+H]+	783.5898326
PA(42:2)	C45H85O8P	"NA"	"NA"	"NA"	784.5982067	[M+H]+	785.6054827
PA(42:1)	C45H87O8P	"NA"	"NA"	"NA"	786.6138568	[M+H]+	787.6211328
PA(42:0)	C45H89O8P	"NA"	"NA"	"NA"	788.6295068	[M+H]+	789.6367828
PA(41:0)	C44H87O8P	"NA"	"NA"	"NA"	774.6138568	[M+H]+	775.6211328
PA(41:1)	C44H85O8P	"NA"	"NA"	"NA"	772.5982067	[M+H]+	773.6054827
PA(40:4)	C43H77O8P	"NA"	"NA"	"NA"	752.5356064	[M+H]+	753.5428824
PA(40:3)	C43H79O8P	"NA"	"NA"	"NA"	754.5512565	[M+H]+	755.5585325000001
PA(40:2)	C43H81O8P	"NA"	"NA"	"NA"	756.5669066	[M+H]+	757.5741826000001
PA(40:1)	C43H83O8P	"NA"	"NA"	"NA"	758.5825566	[M+H]+	759.5898326
PA(40:0)	C43H85O8P	"NA"	"NA"	"NA"	760.5982067	[M+H]+	761.6054827
PA(40:10)	C43H65O8P	"NA"	"NA"	"NA"	740.4417061	[M+H]+	741.4489821000001
PA(40:9)	C43H67O8P	"NA"	"NA"	"NA"	742.4573561	[M+H]+	743.4646321
PA(40:8)	C43H69O8P	"NA"	"NA"	"NA"	744.4730062	[M+H]+	745.4802822
PA(40:7)	C43H71O8P	"NA"	"NA"	"NA"	746.4886562	[M+H]+	747.4959322000001
PA(40:6)	C43H73O8P	"NA"	"NA"	"NA"	748.5043063	[M+H]+	749.5115823000001
PA(40:5)	C43H75O8P	"NA"	"NA"	"NA"	750.5199564	[M+H]+	751.5272324
PA(39:0)	C42H83O8P	"NA"	"NA"	"NA"	746.5825566	[M+H]+	747.5898326
PA(39:1)	C42H81O8P	"NA"	"NA"	"NA"	744.5669066	[M+H]+	745.5741826000001
PA(39:5)	C42H73O8P	"NA"	"NA"	"NA"	736.5043063	[M+H]+	737.5115823000001
PA(39:4)	C42H75O8P	"NA"	"NA"	"NA"	738.5199564	[M+H]+	739.5272324
PA(39:3)	C42H77O8P	"NA"	"NA"	"NA"	740.5356064	[M+H]+	741.5428824
PA(39:2)	C42H79O8P	"NA"	"NA"	"NA"	742.5512565	[M+H]+	743.5585325000001
PA(39:6)	C42H71O8P	"NA"	"NA"	"NA"	734.4886562	[M+H]+	735.4959322000001
PA(38:1)	C41H79O8P	"NA"	"NA"	"NA"	730.5512565	[M+H]+	731.5585325000001
PA(38:0)	C41H81O8P	"NA"	"NA"	"NA"	732.5669066	[M+H]+	733.5741826000001
PA(38:9)	C41H63O8P	"NA"	"NA"	"NA"	714.426056	[M+H]+	715.4333320000001
PA(38:8)	C41H65O8P	"NA"	"NA"	"NA"	716.4417061	[M+H]+	717.4489821000001
PA(38:7)	C41H67O8P	"NA"	"NA"	"NA"	718.4573561	[M+H]+	719.4646321
PA(38:6)	C41H69O8P	"NA"	"NA"	"NA"	720.4730062	[M+H]+	721.4802822
PA(38:5)	C41H71O8P	"NA"	"NA"	"NA"	722.4886562	[M+H]+	723.4959322000001
PA(38:4)	C41H73O8P	"NA"	"NA"	"NA"	724.5043063	[M+H]+	725.5115823000001
PA(38:3)	C41H75O8P	"NA"	"NA"	"NA"	726.5199564	[M+H]+	727.5272324
PA(38:2)	C41H77O8P	"NA"	"NA"	"NA"	728.5356064	[M+H]+	729.5428824
PA(37:0)	C40H79O8P	"NA"	"NA"	"NA"	718.5512565	[M+H]+	719.5585325000001
PA(37:5)	C40H69O8P	"NA"	"NA"	"NA"	708.4730062	[M+H]+	709.4802822
PA(37:4)	C40H71O8P	"NA"	"NA"	"NA"	710.4886562	[M+H]+	711.4959322000001
PA(37:3)	C40H73O8P	"NA"	"NA"	"NA"	712.5043063	[M+H]+	713.5115823000001
PA(37:2)	C40H75O8P	"NA"	"NA"	"NA"	714.5199564	[M+H]+	715.5272324
PA(37:1)	C40H77O8P	"NA"	"NA"	"NA"	716.5356064	[M+H]+	717.5428824
PA(37:6)	C40H67O8P	"NA"	"NA"	"NA"	706.4573561	[M+H]+	707.4646321
PA(36:0)	C39H77O8P	"NA"	"NA"	"NA"	704.5356064	[M+H]+	705.5428824
PA(36:6)	C39H65O8P	"NA"	"NA"	"NA"	692.4417061	[M+H]+	693.4489821000001
PA(36:5)	C39H67O8P	"NA"	"NA"	"NA"	694.4573561	[M+H]+	695.4646321
PA(36:4)	C39H69O8P	"NA"	"NA"	"NA"	696.4730062	[M+H]+	697.4802822
PA(36:3)	C39H71O8P	"NA"	"NA"	"NA"	698.4886562	[M+H]+	699.4959322000001
PA(36:2)	C39H73O8P	"NA"	"NA"	"NA"	700.5043063	[M+H]+	701.5115823000001
PA(36:1)	C39H75O8P	"NA"	"NA"	"NA"	702.5199564	[M+H]+	703.5272324
PA(36:8)	C39H61O8P	"NA"	"NA"	"NA"	688.4104059	[M+H]+	689.4176819
PA(36:7)	C39H63O8P	"NA"	"NA"	"NA"	690.426056	[M+H]+	691.4333320000001
PA(35:0)	C38H75O8P	"NA"	"NA"	"NA"	690.5199564	[M+H]+	691.5272324
PA(35:5)	C38H65O8P	"NA"	"NA"	"NA"	680.4417061	[M+H]+	681.4489821000001
PA(35:4)	C38H67O8P	"NA"	"NA"	"NA"	682.4573561	[M+H]+	683.4646321
PA(35:3)	C38H69O8P	"NA"	"NA"	"NA"	684.4730062	[M+H]+	685.4802822
PA(35:2)	C38H71O8P	"NA"	"NA"	"NA"	686.4886562	[M+H]+	687.4959322000001
PA(35:1)	C38H73O8P	"NA"	"NA"	"NA"	688.5043063	[M+H]+	689.5115823000001
PA(34:0)	C37H73O8P	"NA"	"NA"	"NA"	676.5043063	[M+H]+	677.5115823000001
PA(34:5)	C37H63O8P	"NA"	"NA"	"NA"	666.426056	[M+H]+	667.4333320000001
PA(34:4)	C37H65O8P	"NA"	"NA"	"NA"	668.4417061	[M+H]+	669.4489821000001
PA(34:3)	C37H67O8P	"NA"	"NA"	"NA"	670.4573561	[M+H]+	671.4646321
PA(34:2)	C37H69O8P	"NA"	"NA"	"NA"	672.4730062	[M+H]+	673.4802822
PA(34:1)	C37H71O8P	"NA"	"NA"	"NA"	674.4886562	[M+H]+	675.4959322000001
PA(33:5)	C36H61O8P	"NA"	"NA"	"NA"	652.4104059	[M+H]+	653.4176819
PA(33:4)	C36H63O8P	"NA"	"NA"	"NA"	654.426056	[M+H]+	655.4333320000001
PA(33:3)	C36H65O8P	"NA"	"NA"	"NA"	656.4417061	[M+H]+	657.4489821000001
PA(33:2)	C36H67O8P	"NA"	"NA"	"NA"	658.4573561	[M+H]+	659.4646321
PA(33:1)	C36H69O8P	"NA"	"NA"	"NA"	660.4730062	[M+H]+	661.4802822
PA(33:0)	C36H71O8P	"NA"	"NA"	"NA"	662.4886562	[M+H]+	663.4959322000001
PA(32:5)	C35H59O8P	"NA"	"NA"	"NA"	638.3947559	[M+H]+	639.4020319
PA(32:4)	C35H61O8P	"NA"	"NA"	"NA"	640.4104059	[M+H]+	641.4176819
PA(32:3)	C35H63O8P	"NA"	"NA"	"NA"	642.426056	[M+H]+	643.4333320000001
PA(32:2)	C35H65O8P	"NA"	"NA"	"NA"	644.4417061	[M+H]+	645.4489821000001
PA(32:1)	C35H67O8P	"NA"	"NA"	"NA"	646.4573561	[M+H]+	647.4646321
PA(32:0)	C35H69O8P	"NA"	"NA"	"NA"	648.4730062	[M+H]+	649.4802822
PA(31:1)	C34H65O8P	"NA"	"NA"	"NA"	632.4417061	[M+H]+	633.4489821000001
PA(31:0)	C34H67O8P	"NA"	"NA"	"NA"	634.4573561	[M+H]+	635.4646321
PA(31:4)	C34H59O8P	"NA"	"NA"	"NA"	626.3947559	[M+H]+	627.4020319
PA(31:3)	C34H61O8P	"NA"	"NA"	"NA"	628.4104059	[M+H]+	629.4176819
PA(31:2)	C34H63O8P	"NA"	"NA"	"NA"	630.426056	[M+H]+	631.4333320000001
PA(30:4)	C33H57O8P	"NA"	"NA"	"NA"	612.3791058	[M+H]+	613.3863818000001
PA(30:3)	C33H59O8P	"NA"	"NA"	"NA"	614.3947559	[M+H]+	615.4020319
PA(30:2)	C33H61O8P	"NA"	"NA"	"NA"	616.4104059	[M+H]+	617.4176819
PA(30:1)	C33H63O8P	"NA"	"NA"	"NA"	618.426056	[M+H]+	619.4333320000001
PA(30:0)	C33H65O8P	"NA"	"NA"	"NA"	620.4417061	[M+H]+	621.4489821000001
PA(29:1)	C32H61O8P	"NA"	"NA"	"NA"	604.4104059	[M+H]+	605.4176819
PA(29:0)	C32H63O8P	"NA"	"NA"	"NA"	606.426056	[M+H]+	607.4333320000001
PA(28:1)	C31H59O8P	"NA"	"NA"	"NA"	590.3947559	[M+H]+	591.4020319
PA(28:0)	C31H61O8P	"NA"	"NA"	"NA"	592.4104059	[M+H]+	593.4176819
PA(27:0)	C30H59O8P	"NA"	"NA"	"NA"	578.3947559	[M+H]+	579.4020319
PA(26:0)	C29H57O8P	"NA"	"NA"	"NA"	564.3791058	[M+H]+	565.3863818000001
PA(25:0)	C28H55O8P	"NA"	"NA"	"NA"	550.3634557	[M+H]+	551.3707317000001
PA(24:0)	C27H53O8P	"NA"	"NA"	"NA"	536.3478057	[M+H]+	537.3550817
PC(44:0)	C52H104NO8P	"NA"	"NA"	"NA"	901.7499563	[M+H]+	902.7572323
PC(42:5)	C50H90NO8P	"NA"	"NA"	"NA"	863.6404059	[M+H]+	864.6476819000001
PC(42:4)	C50H92NO8P	"NA"	"NA"	"NA"	865.6560559	[M+H]+	866.6633319
PC(42:3)	C50H94NO8P	"NA"	"NA"	"NA"	867.671706	[M+H]+	868.678982
PC(42:2)	C50H96NO8P	"NA"	"NA"	"NA"	869.6873561	[M+H]+	870.6946321
PC(42:1)	C50H98NO8P	"NA"	"NA"	"NA"	871.7030061	[M+H]+	872.7102821000001
PC(42:0)	C50H100NO8P	"NA"	"NA"	"NA"	873.7186562	[M+H]+	874.7259322000001
PC(41:0)	C49H98NO8P	"NA"	"NA"	"NA"	859.7030061	[M+H]+	860.7102821000001
PC(41:1)	C49H96NO8P	"NA"	"NA"	"NA"	857.6873561	[M+H]+	858.6946321
PC(40:4)	C48H88NO8P	"NA"	"NA"	"NA"	837.6247558	[M+H]+	838.6320318
PC(40:3)	C48H90NO8P	"NA"	"NA"	"NA"	839.6404059	[M+H]+	840.6476819000001
PC(40:2)	C48H92NO8P	"NA"	"NA"	"NA"	841.6560559	[M+H]+	842.6633319
PC(40:1)	C48H94NO8P	"NA"	"NA"	"NA"	843.671706	[M+H]+	844.678982
PC(40:0)	C48H96NO8P	"NA"	"NA"	"NA"	845.6873561	[M+H]+	846.6946321
PC(40:10)	C48H76NO8P	"NA"	"NA"	"NA"	825.5308554	[M+H]+	826.5381314
PC(40:9)	C48H78NO8P	"NA"	"NA"	"NA"	827.5465055	[M+H]+	828.5537815
PC(40:8)	C48H80NO8P	"NA"	"NA"	"NA"	829.5621555	[M+H]+	830.5694315000001
PC(40:7)	C48H82NO8P	"NA"	"NA"	"NA"	831.5778056	[M+H]+	832.5850816000001
PC(40:6)	C48H84NO8P	"NA"	"NA"	"NA"	833.5934557	[M+H]+	834.6007317000001
